object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Cataleptic	0	
orth	Cataleptic	eng	
foreign	cataleptique	fra	
entry	Catalysis	0	
orth	Catalysis	eng	
foreign	catalyse	fra	
entry	Cataract	0	
orth	Cataract	eng	
foreign	cataracte	fra	
entry	Catarrh	0	
orth	Catarrh	eng	
foreign	catarrhe	fra	
entry	Cathartic	0	
orth	Cathartic	eng	
foreign	cathartique	fra	
entry	Catling	0	
orth	Catling	eng	
entry	Catoptric	0	
orth	Catoptric	eng	
foreign	catoptrique	fra	
entry	Catoptrics	0	
orth	Catoptrics	eng	
foreign	catoptrique (la)	fra	
entry	Caul	0	
orth	Caul	eng	
foreign	épiploon (l')	fra	
entry	Cauliflower excrescence	0	
orth	Cauliflower excrescence	eng	
foreign	chou-fleur	fra	
foreign	condylome	fra	
entry	Caustic	0	
orth	Caustic	eng	
foreign	caustique	fra	
entry	Causticity	0	
orth	Causticity	eng	
foreign	causticité	fra	
entry	Cautery	0	
orth	Cautery	eng	
foreign	cautère	fra	
entry	Cavernous	0	
orth	Cavernous	eng	
foreign	caverneux	fra	
entry	Cavity	0	
orth	Cavity	eng	
foreign	cavité	fra	
entry	Cell	0	
orth	Cell	eng	
foreign	cellule	fra	
entry	Cellular	0	
orth	Cellular	eng	
foreign	cellulaire	fra	
entry	Cephalic	0	
orth	Cephalic	eng	
foreign	céphalique	fra	
entry	Cephalometer	0	
orth	Cephalometer	eng	
foreign	céphalomètre	fra	
entry	Cephalotomy	0	
orth	Cephalotomy	eng	
foreign	céphalotomie	fra	
entry	Cephalotripsy	0	
orth	Cephalotripsy	eng	
entry	Cerate	0	
orth	Cerate	eng	
foreign	cérat	fra	
entry	Cerebellous	0	
orth	Cerebellous	eng	
foreign	cérébelleux	fra	
entry	Cerebriform	0	
orth	Cerebriform	eng	
foreign	cérébriforme	fra	
entry	Ceruminous	0	
orth	Ceruminous	eng	
foreign	cérumineux	fra	
entry	Cestoideans	0	
orth	Cestoideans	eng	
foreign	cestoïdes (les)	fra	
entry	Chain-saw	0	
orth	Chain-saw	eng	
foreign	scie en chaîne	fra	
entry	Chalk	0	
orth	Chalk	eng	
foreign	craie	fra	
entry	Chalybeate	0	
orth	Chalybeate	eng	
foreign	chalybé	fra	
entry	Chamber	0	
orth	Chamber	eng	
foreign	chambre	fra	
entry	Charcoal	0	
orth	Charcoal	eng	
foreign	charbon	fra	
entry	Cheese	0	
orth	Cheese	eng	
foreign	fromage	fra	
