object			
orth	Alvéolaire		
foreign	alveolaris	lat	
entry	Alvéole	0	
orth	Alvéole		
foreign	alveolus	lat	
entry	Alvéolé	0	
orth	Alvéolé		
foreign	alveolatus	lat	
foreign	favosus	lat	
entry	Alvin	0	
orth	Alvin		
foreign	alvitius	lat	
foreign	d’alvus	lat	
entry	Amadou	0	
orth	Amadou		
foreign	igniariuni	lat	
entry	Amaigrissement	0	
orth	Amaigrissement		
foreign	macies	lat	
foreign		lat	
foreign	macror	lat	
entry	Amalgame	0	
orth	Amalgame		
foreign	amalgama t	lat	
entry	Amande	0	
orth	Amande		
foreign	amygdalum	lat	
entry	Amandé	0	
orth	Amandé		
foreign	amygdalatum 9	lat	
entry	Amaurose	0	
orth	Amaurose		
foreign	amaurosis	lat	
clique	Goutte-sereine		
entry	Ambi	0	
orth	Ambi		
entry	Ambiant	0	
orth	Ambiant		
foreign	ambiens	lat	
entry	Ambidextre	0	
orth	Ambidextre		
foreign	ambidexter	lat	
entry	Amblygone	0	
orth	Amblygone		
foreign	amblygonus	lat	
entry	Amblyopie	0	
orth	Amblyopie		
foreign	amblyopia	lat	
entry	Ambre	1	
orth	Ambre		
foreign	ambarum	lat	
pb	16		
entry	Ambulant	0	
orth	Ambulant		
foreign	ambulans	lat	
foreign	antis	lat	
entry	Ame	0	
orth	Ame		
foreign	anima	lat	
entry	Amendement	0	
orth	Amendement		
foreign	correctio	lat	
entry	Aménorrhée	0	
orth	Aménorrhée		
foreign	ametlolAlea	lat	
foreign	d'd	lat	
entry	Amentacé	0	
orth	Amentacé		
foreign	arneIItaceus;	lat	
clique	Chaton		
entry	Amer	0	
orth	Amer		
foreign	amarus	lat	
entry	Améthyste	0	
orth	Améthyste		
foreign	amethystus	lat	
entry	Amiante	0	
orth	Amiante		
foreign	amiarItus	lat	
entry	Amidon, Amydon	0	
orth	Amidon		
orth	Amydon		
foreign	amylum	lat	
clique	Fécule		
entry	Ammoniac	0	
orth	Ammoniac		
foreign	sal ammoniacunl	lat	
foreign	akî	lat	
entry	Ammoniaque	0	
orth	Ammoniaque		
foreign	ammoniacum	lat	
entry	Amnios	0	
