object			
entry	Aethyia	0	
orth	Aethyia	lat	
entry	Aetia	0	
orth	Aetia	lat	
entry	Aetiologia	0	
orth	Aetiologia	lat	
entry	Aetites	0	
orth	Aetites	lat	
entry	Aetoma	0	
orth	Aetoma	lat	
entry	Affectio, Affectus	0	
orth	Affectio	lat	
orth	Affectus	lat	
entry	Affectus, Implicatus, Magnus	0	
orth	Affectus	lat	
orth	Implicatus		
orth	Magnus		
clique	Implicatus, Magnus.		
entry	Affectus Praecardialis, Melancholicus, Flatulenttts, Miracidal.ts	0	
orth	Affectus Praecardialis	lat	
orth	Melancholicus		
orth	Flatulenttts		
orth	Miracidal.ts		
clique	Hypochondriaca		
clique	Melancholia		
entry	Affenicum	0	
orth	Affenicum	lat	
entry	Affeos	0	
orth	Affeos	lat	
entry	Afeidra	0	
orth	Afeidra	lat	
entry	Affion	0	
orth	Affion	lat	
entry	Afflatus	0	
orth	Afflatus	lat	
entry	Afflictio	0	
orth	Afflictio	lat	
entry	Affodius	0	
orth	Affodius	lat	
entry	Afformas	0	
orth	Afformas	lat	
entry	Affusio	0	
orth	Affusio	lat	
entry	Afra avis	0	
orth	Afra avis	lat	
entry	Afrob	0	
orth	Afrob	lat	
pb	0024	0032	
entry	Agalactos	0	
orth	Agalactos	lat	
entry	Agallochum	0	
orth	Agallochum	lat	
entry	Agape	0	
orth	Agape	lat	
entry	Agar Calcem	0	
orth	Agar Calcem	lat	
entry	Agaricum	0	
orth	Agaricum	lat	
entry	Agathon	0	
orth	Agathon	lat	
entry	Agellos	0	
orth	Agellos	lat	
entry	Agens, Agere	0	
orth	Agens	lat	
orth	Agere		
entry	Ager	0	
orth	Ager	lat	
entry	Agerasia	0	
orth	Agerasia	lat	
entry	Ageratus lapis	0	
orth	Ageratus lapis	lat	
entry	Ages	0	
orth	Ages	lat	
entry	Ageustia	0	
orth	Ageustia	lat	
entry	Agglutinatio	0	
orth	Agglutinatio	lat	
entry	Aggregatum	0	
orth	Aggregatum	lat	
entry	Agitatio	0	
orth	Agitatio	lat	
entry	Aglia	0	
orth	Aglia	lat	
entry	Aglossostomographia	0	
orth	Aglossostomographia	lat	
entry	Agme	0	
orth	Agme	lat	
clique	Fractura		
entry	Agnata	1	
orth	Agnata	lat	
pb	0025	0033	
entry	Agnata, Tunica	0	
orth	Agnata	lat	
orth	Tunica		
clique	Adnata		
entry	Agnina	0	
orth	Agnina	lat	
entry	Agnoea	0	
orth	Agnoea	lat	
clique	Ignorantia		
entry	Agnus	0	
orth	Agnus	lat	
entry	Ago	0	
orth	Ago	lat	
entry	Agoge	0	
orth	Agoge	lat	
entry	Agon	0	
orth	Agon	lat	
entry	Agonia	0	
orth	Agonia	lat	
entry	Agonia	0	
orth	Agonia	lat	
entry	Agonistice	0	
orth	Agonistice	lat	
entry	Agonisticon	0	
orth	Agonisticon	lat	
entry	Agonos	0	
orth	Agonos	lat	
clique	Goncimos		
entry	Agoraeos	0	
orth	Agoraeos	lat	
entry	Agostus	0	
orth	Agostus	lat	
entry	Agresta	0	
orth	Agresta	lat	
entry	Agresten	0	
orth	Agresten	lat	
entry	Agrestis	0	
orth	Agrestis	lat	
entry	Agricultura	0	
orth	Agricultura	lat	
entry	Agrippae	1	
orth	Agrippae	lat	
pb	0026	0034	
entry	Agroecopyrrhoneios	0	
orth	Agroecopyrrhoneios	lat	
entry	Agronomos	0	
orth	Agronomos	lat	
entry	Agrophon	0	
orth	Agrophon	lat	
entry	Agrumina	0	
orth	Agrumina	lat	
entry	Agrypnia	0	
orth	Agrypnia	lat	
entry	Agrypnocoma	0	
orth	Agrypnocoma	lat	
entry	Agyion	0	
orth	Agyion	lat	
entry	Agyrtae	0	
orth	Agyrtae	lat	
entry	Ahius	0	
orth	Ahius	lat	
entry	Ahusal	0	
orth	Ahusal	lat	
entry	Aidris	0	
orth	Aidris	lat	
entry	Aio	0	
orth	Aio	lat	
entry	Aipathia	0	
orth	Aipathia	lat	
entry	Aisso	0	
orth	Aisso	lat	
entry	Aitruad	0	
orth	Aitruad	lat	
entry	Akibot	0	
orth	Akibot	lat	
entry	Akon cotem	0	
orth	Akon cotem	lat	
entry	Ala	1	
orth	Ala	lat	
clique	Pteryx. Pterygion		
pb	0027	0035	
entry	Alabandicus lapis	0	
orth	Alabandicus lapis	lat	
entry	Alabari, Plumbum	0	
orth	Alabari	lat	
orth	Plumbum		
entry	Alabastrites	0	
orth	Alabastrites	lat	
entry	Alacab	0	
orth	Alacab	lat	
entry	Alacuoth	0	
orth	Alacuoth	lat	
entry	Alapi	0	
orth	Alapi	lat	
entry	Alafort	0	
orth	Alafort	lat	
entry	Alafreg	0	
orth	Alafreg	lat	
entry	Alahabar	0	
orth	Alahabar	lat	
entry	Alahatibis	0	
orth	Alahatibis	lat	
entry	Alaia	0	
orth	Alaia	lat	
entry	Alamandina	0	
orth	Alamandina	lat	
entry	Alanfuta	0	
orth	Alanfuta	lat	
entry	Alaris	0	
orth	Alaris	lat	
clique	Alis.ormis		
entry	Alasalet	0	
orth	Alasalet	lat	
entry	Alastar	0	
orth	Alastar	lat	
entry	Alastor	0	
orth	Alastor	lat	
entry	Alastrob	0	
orth	Alastrob	lat	
entry	Alathar	0	
orth	Alathar	lat	
entry	Alatus	0	
orth	Alatus	lat	
entry	Alauda	1	
orth	Alauda	lat	
pb	0028	0036	
entry	Alaurat, Sal nitrum	0	
orth	Alaurat	lat	
orth	Sal nitrum		
entry	Alazon	0	
orth	Alazon	lat	
entry	Alba Pituita	0	
orth	Alba Pituita	lat	
entry	Alba Terra	0	
orth	Alba Terra	lat	
entry	Alba Vitiligo	0	
orth	Alba Vitiligo	lat	
entry	Albadara	0	
orth	Albadara	lat	
entry	Albagiazi	0	
orth	Albagiazi	lat	
entry	Albanum	0	
orth	Albanum	lat	
entry	Albara	0	
orth	Albara	lat	
entry	Albaras	0	
orth	Albaras	lat	
entry	Albatio	0	
orth	Albatio	lat	
entry	Albedo	0	
orth	Albedo	lat	
entry	Alberik	0	
orth	Alberik	lat	
entry	Albi	0	
orth	Albi	lat	
entry	Albificatio	0	
orth	Albificatio	lat	
entry	Albor	0	
orth	Albor	lat	
entry	Albora	0	
orth	Albora	lat	
entry	Albot	0	
orth	Albot	lat	
entry	Albotar	0	
orth	Albotar	lat	
entry	Albotim, Albotai, Albotra, Albuhen, Altilibat	0	
orth	Albotim	lat	
orth	Albotai		
orth	Albotra		
orth	Albuhen		
orth	Altilibat		
entry	Albotis	0	
orth	Albotis	lat	
clique	Terminthos		
entry	Albugineus humor oculi	0	
orth	Albugineus humor oculi	lat	
clique	Aqueus humor. Albuginea		
entry	Albugo	0	
orth	Albugo	lat	
entry	Albula	0	
orth	Albula	lat	
entry	Album	1	
orth	Album	lat	
pb	0029	0037	
clique	Albus		
entry	Albumen	0	
orth	Albumen	lat	
entry	Alburnum	0	
orth	Alburnum	lat	
entry	Alburnus	0	
orth	Alburnus	lat	
entry	Albus	0	
orth	Albus	lat	
entry	Alcahest	0	
orth	Alcahest	lat	
entry	Alcali	0	
orth	Alcali	lat	
entry	Alcaol	0	
orth	Alcaol	lat	
entry	Alcar	0	
orth	Alcar	lat	
clique	Faës.p		
entry	Alce	0	
orth	Alce	lat	
entry	Alcebris, vivum	0	
orth	Alcebris	lat	
orth	vivum		
entry	Alcedo	0	
orth	Alcedo	lat	
entry	Alcharit	0	
orth	Alcharit	lat	
entry	Alchazonon	0	
orth	Alchazonon	lat	
entry	Alchemia	0	
orth	Alchemia	lat	
entry	Alchien	0	
orth	Alchien	lat	
entry	Alchitrum	0	
orth	Alchitrum	lat	
entry	Alchymia	0	
orth	Alchymia	lat	
entry	Alchytran	0	
orth	Alchytran	lat	
entry	Alcimad	0	
orth	Alcimad	lat	
entry	Alcob	0	
orth	Alcob	lat	
entry	Alcofol	0	
orth	Alcofol	lat	
entry	Alcohol, Alchool, Alcool, Alkol, Alcol	0	
orth	Alcohol	lat	
orth	Alchool		
