object			
volume	37019	Capuron	1806
foreign	expectoration	fra	
entry	Anacatharticus	0	
orth	Anacatharticus	lat	
foreign	anacathartique	fra	
foreign	expectorant	fra	
entry	Anaclasticus	0	
orth	Anaclasticus	lat	
foreign	anaclastique	fra	
entry	Anacollemata	0	
orth	Anacollemata	lat	
foreign	anacollémates	fra	
entry	Anadosis	0	
orth	Anadosis	lat	
foreign	anadose	fra	
entry	Anadrome	0	
orth	Anadrome	lat	
foreign	anadrome	fra	
entry	Anœmasis	0	
orth	Anœmasis	lat	
foreign	anémase	fra	
entry	Anœmia	0	
orth	Anœmia	lat	
foreign	anémie	fra	
entry	Anœsthesia	0	
orth	Anœsthesia	lat	
foreign	anesthésie	fra	
entry	Analemma	0	
orth	Analemma	lat	
foreign	analême	fra	
entry	Anasthesia	0	
orth	Anasthesia	lat	
foreign	anasthésie	fra	
entry	Analepsis	0	
orth	Analepsis	lat	
foreign	analepsie	fra	
entry	Analepticus	0	
orth	Analepticus	lat	
foreign	analeptique	fra	
entry	Analogia	0	
orth	Analogia	lat	
foreign	analogie	fra	
entry	Analogismus	0	
orth	Analogismus	lat	
foreign	analogisme	fra	
entry	Analosis	0	
orth	Analosis	lat	
foreign	consomption	fra	
entry	Analysis	0	
orth	Analysis	lat	
foreign	analyse	fra	
entry	Anamnesis	0	
orth	Anamnesis	lat	
foreign	réminiscence	fra	
entry	Anamnestica	0	
orth	Anamnestica	lat	
foreign	anamnestiques	fra	
entry	Anamnesticus	0	
orth	Anamnesticus	lat	
foreign	commémoratif	fra	
entry	Anapetia	0	
orth	Anapetia	lat	
foreign	anapétie	fra	
entry	Anaphonesis	0	
orth	Anaphonesis	lat	
foreign	anaphonèse	fra	
entry	Anaphrodisia	0	
orth	Anaphrodisia	lat	
foreign	anaphrodisie	fra	
entry	Anaplerosis	0	
orth	Anaplerosis	lat	
foreign	anaplérose	fra	
entry	Anapleroticus	0	
orth	Anapleroticus	lat	
foreign	anaplérotique	fra	
entry	Anasarca	0	
orth	Anasarca	lat	
foreign	anasarque	fra	
entry	Anaspasis	0	
orth	Anaspasis	lat	
foreign	anaspase	fra	
entry	Anastalticus	0	
orth	Anastalticus	lat	
foreign	anastaltique	fra	
entry	Anastomosis	0	
orth	Anastomosis	lat	
foreign	anastomose	fra	
entry	Anastomoticus	0	
orth	Anastomoticus	lat	
foreign	anastomotique	fra	
entry	Anatifer	0	
orth	Anatifer	lat	
foreign	anatifère	fra	
entry	Anatifex	0	
orth	Anatifex	lat	
foreign	anatife	fra	
entry	Anatomia	0	
orth	Anatomia	lat	
foreign	anatomie	fra	
entry	Anatomicus	0	
orth	Anatomicus	lat	
foreign	anatomique	fra	
