object			
volume	37020d	Littré-Robin (1865-1873)	1873
term	Absorption alimentaire		
clique	Absorption alimentaire		
term	Absorption assimilatrice		
clique	Absorption assimilatrice | Assimilation		
term	Absorption de la chaleur		
clique	Absorption de la chaleur | Pouvoir | Pouvoir absorbant		
term	Absorption chyleuse		
clique	Absorption chyleuse | Pénétration		
term	Absorption cutanée		
clique	Absorption cutanée		
term	Absorption désassimilatrice		
clique	Absorption désassimilatrice | Désassimilation		
term	Absorption externe ou de composition assimilatrice		
clique	Absorption externe ou de composition assimilatrice | Assimilation | Digestion | Nutrition		
term	Absorption interne ou de décomposition, moléculaire, nutritive, organique, désassimilatrice ou interstitielle		
clique	Absorption interne ou de décomposition, moléculaire, nutritive, organique, désassimilatrice ou interstitielle | désassimilation | Urine		
term	Absorption intestinale ou digestive		
clique	Absorption intestinale ou digestive | Digestion		
term	Absorption de la lumière		
clique	Absorption de la lumière | Pouvoir | Pouvoir absorbant		
term	Absorption lymphatique		
clique	Absorption lymphatique | Lymphatique		
term	Absorption des médicaments		
clique	Absorption des médicaments | Médicament		
term	Absorption pathologique		
clique	Absorption pathologique | Résorption		
term	Absorption placentaire		
clique	Absorption placentaire | Placenta		
term	Absorption pulmonaire, aérienne ou respiratoire		
clique	Absorption pulmonaire, aérienne ou respiratoire | Respiration		
term	Absorption récrémentitielle		
clique	Absorption récrémentitielle | Digestion		
term	Absorption veineuse		
clique	Absorption veineuse | Absorption | Veine		
term	Bubon d’absorption		
clique	Bubon d’absorption | Bubon		
entry	Abstème	0	
orth	Abstème		
foreign	abstemius	lat	
foreign	abstemious	eng	
foreign	astemio	ita	
foreign	abstemio	spa	
foreign	ἄοινος	grc	
entry	Abstergent	1	
orth	Abstergent		
foreign	abstergens	lat	
foreign	reinigend	deu	
foreign	abstersive	eng	
foreign	astergente	ita	
foreign	astersivo	ita	
foreign	abstergente	spa	
pb	0008	0022	
clique	Détersif		
entry	Abstersion	0	
orth	Abstersion		
foreign	abstersio	lat	
foreign	astersione	ita	
entry	Abstinence	0	
orth	Abstinence		
foreign	abstinentia	lat	
foreign	Enthaltung	deu	
foreign	abstinence	eng	
foreign	astinenza	ita	
foreign	abstinentia	spa	
clique	Inanition		
entry	Abstractif	0	
orth	Abstractif		
foreign	Abstractions	lat	
entry	Abstraction	0	
orth	Abstraction		
foreign	Abziehen	deu	
foreign	das Abgeleitete	deu	
foreign	abstraction	eng	
foreign	astrazione	ita	
clique	Logique		
entry	Abstrait	0	
orth	Abstrait		
term	Science abstraite		
clique	Science abstraite | Science		
entry	Absus	0	
orth	Absus		
foreign	Cassia absus (L.)	lat	
entry	Abulie	0	
orth	Abulie		
entry	Abuta	0	
orth	Abuta		
entry	Acacia	0	
orth	Acacia		
foreign	Akazie	deu	
foreign	gumtree	eng	
foreign	acazia	ita	
clique	Gomme		
term	Acacia angico		
clique	Acacia angico | Angico		
term	Acacia arabica		
clique	Acacia arabica | Bablah		
term	Acacia de Farnèse		
clique	Acacia de Farnèse | Balibabulah		
term	Acacia jurema		
clique	Acacia jurema | Jurema		
entry	Académie	0	
orth	Académie		
entry	Acajou	0	
orth	Acajou		
foreign	Nierenbaum	deu	
foreign	cashew nui	eng	
foreign	acaju	ita	
term	Noix d’acajou		
clique	Noix d’acajou | Huile | Huile de noix d’acajou		
term	Acajou du Sénégal		
clique	Acajou du Sénégal | Caïl-cédrin		
entry	Acalèphe	0	
orth	Acalèphe		
clique	Polype		
clique	Médusaires		
clique	Scolex		
pb	0009	0023	
entry	Acalical	0	
orth	Acalical		
entry	Acalicine	0	
orth	Acalicine		
entry	Acaligulé	0	
orth	Acaligulé		
entry	Acampsie	0	
orth	Acampsie		
entry	Acanthacées	0	
orth	Acanthacées		
entry	Acanthe	0	
orth	Acanthe		
foreign	Acanthus mollis (L.)	lat	
foreign	ἄκανθος	grc	
entry	Acanthichthyose	0	
orth	Acanthichthyose		
clique	Ichthyose		
entry	Acanthobole	0	
orth	Acanthobole		
foreign	acanthobolus	lat	
foreign	Gratenzange	deu	
foreign	acanthabolus	eng	
foreign	acantabolo	ita	
foreign	ἀκανθοβόλος	grc	
entry	Acanthocéphale	0	
orth	Acanthocéphale		
foreign	Stachelkopf	deu	
foreign	acanthocephalus	eng	
foreign	acantocefalo	ita	
clique	Échinorrhynque		
entry	Acanthophage	0	
orth	Acanthophage		
entry	Acanthoptérygien	0	
orth	Acanthoptérygien		
entry	Acanthothèque	0	
orth	Acanthothèque		
clique	Helmintbe		
clique	Linguatule		
entry	Acardie	0	
orth	Acardie		
foreign	Herzmangel	deu	
foreign	acardia	eng	
foreign	acardia	ita	
