page	refimg	chapitre
349	0348	Jeanroi (Dieudonné) - Jenner (Edouard)
350	0349	Jenner (Edouard)
351	0350	Jenner (Edouard)
352	0351	Jenner (Edouard)
353	0352	Jenner (Edouard)
354	0353	Jenner (Edouard)
355	0354	Jenner (Edouard) - Jessen ou Jessensky (Jean de)
356	0355	Jessen ou Jessensky (Jean de) - Jobst (Wolfgang) - Joel ou Johel (François)
357	0356	Joel ou Johel (François) - Joerdens (Jean-Henri) - Joerg (Jean-Chrétien-Goidefroy)
358	0357	Joerg (Jean-Chrétien-Goidefroy) - John (Jean-Denys) - Johnson (Thomas)
359	0358	Johnson (Thomas) - Johnstone (Jacques)
360	0359	Johnstone (Jacques) - Johrenius (Conrad)
361	0360	Johrenius (Conrad) - Jones (Jean) - Jonghe (Adrien de)
362	0361	Jonghe (Adrien de)
363	0362	Jonston (Jean)
364	0363	Jonston (Jean)
365	0364	Jonston (Jean) - Joostens (Pasquier) - Jordan (Thomas)
366	0365	Jordan (Thomas) - Jorden (Edouard) - Joseph (Guillaume)
367	0366	Joseph (Guillaume) - Joubert (Laurent)
368	0367	Joubert (Laurent)
369	0368	Joubert (Laurent)
370	0369	Joubert (Laurent)
371	0370	Joubert (Laurent)
372	0371	Jove (Paul)
373	0372	Jove (Paul)
374	0373	Juch (Charles-Guillaume) - Jugler (Jean-Henri)
375	0374	Jugler (Jean-Henri) - Junge (Joachim)
376	0375	Junge (Joachim) - Jungermann (Louis)
377	0376	Jungermann (Louis) - Junghans (Philippe-Gaspard) - Jungken (Jean-Helfrich)
378	0377	Jungken (Jean-Helfrich)
379	0378	Jungken (Jean-Helfrich) - Junker (Jean)
380	0379	Junker (Jean)
381	0380	Junker (Jean)
382	0381	Junker (Jean)
383	0382	Junker (Jean)
384	0383	Junker (Jean) - Junker (Jean-Chrétien-Guillaume) - Jurin (Jacques)
385	0384	Jurin (Jacques) - Jurine (Louis)
386	0385	Jurine (Louis)
387	0386	Jurine (Louis) - Jussieu (Antoine de)
388	0387	Jussieu (Antoine de) - Jussieu (Antoine-Laurent de) - Jussieu (Bernard de)
389	0388	Jussieu (Bernard de) 
390	0389	Jussieu (Bernard de) - Jussieu (Joseph de)
391	0390	Jussieu (Joseph de) - Justi (Henri-Ernest) - Juvet (Hugues-Alexis) - Lettre K - Kaaw-Boerhaave (Abraham)
392	0391	Kaaw-Boerhaave (Abraham) - Kadelbach (Chrétien-Frédéric) - Kaempf (Jean)
393	0392	Kaempf (Jean) - Kaempfer (Engelbert)
394	0393	Kaempfer (Engelbert)
395	0394	Kaempfer (Engelbert) - Kalm (Pierre)
396	0395	Kalm (Pierre)
397	0396	Kalm (Pierre)
398	0397	Kalm (Pierre)
399	0398	Kalm (Pierre)
400	0399	Kalm (Pierre) - Kaltschmid (Charles-Frédéric)
401	0400	Kaltschmid (Charles-Frédéric)
402	0401	Kaltschmid (Charles-Frédéric)
403	0402	Kaltschmid (Charles-Frédéric)
404	0403	Kaltschmid (Charles-Frédéric) - Kannegiesser (Théophile Henri)
405	0404	Kannegiesser (Théophile Henri)
406	0405	Kannegiesser (Théophile Henri) - Kanold (Jean) 
407	0406	Kanold (Jean) - Kapfer (Jean-Georges-Antoine) - Kapp (Chrétien-Ehrhart) - Kapp (Georges-Chrétien-Frédéric)
408	0407	Kapp (Georges-Chrétien-Frédéric) - Kauhlen (François-Guillaume) - Kausch (Jean-Joseph)
409	0408	Kausch (Jean-Joseph) - Keate (Thomas) - Keck (Jean-Christophe) - Keill (Jacques)
410	0409	Keill (Jacques) - Keller (Chrétien-Frédéric) - Kelley (Edouard)
411	0410	Kelley (Edouard) - Kellner (David) - Kelner (Guillaume-André)
412	0411	Kels (Henri-Guillaume) - Kemme (Jean-Chrétien) - Kentmann (Jean)
413	0412	Kentmann (Jean) - Kepler (Louis)
414	0413	Kepler (Louis) - Keraudren (Pierre-François)
415	0414	Keraudren (Pierre-François)
416	0415	Keraudren (Pierre-François) - Kerger (Martin) - Kerckring (Théodore)
