livanc.clenum
295425	pharma_p11247x1931	Vidal	1931
295426	pharma_p11247x1932	Vidal	1932
295427	pharma_p11247x1933	Vidal	1933
295428	pharma_p11247x1934	Vidal	1934
295429	pharma_p11247x1935	Vidal	1935
295430	pharma_p11247x1936	Vidal	1936
295431	pharma_p11247x1937	Vidal	1937
295432	pharma_p11247x1937suppl	Vidal	1937
295433	pharma_p11247x1938	Vidal	1938
295434	pharma_p11247x1939	Vidal	1939
295435	pharma_p11247x1940	Vidal	1940
295436	pharma_p11247x1943	Vidal	1943
295416	pharma_p11247x1914	Vidal	1914
339347	56140		1888
382684	24374		1895
