object			
volume	00152	De Gorris index (1601)	1601
entry	Araneae similis tunica	0	
orth	Araneae similis tunica	lat	
foreign	χιτὼν ἀραχνοειδής	grc	
entry	Arbutus	0	
orth	Arbutus	lat	
foreign	κόμαρος	grc	
entry	Arcturus	0	
orth	Arcturus	lat	
foreign	ἄρκτειον	grc	
entry	Ardens febris	0	
orth	Ardens febris	lat	
foreign	καῦσος	grc	
entry	Ardores	0	
orth	Ardores	lat	
foreign	ἐπιφλογίσματα	grc	
entry	Area	0	
orth	Area	lat	
foreign	ἀλωπεκία	grc	
foreign	ὀφίασις	grc	
entry	Argentea terra	0	
orth	Argentea terra	lat	
foreign	ἀργυρίτις γῆ	grc	
entry	Argentina	0	
orth	Argentina	lat	
foreign	θάλικτρον	grc	
entry	Argenti spuma	0	
orth	Argenti spuma	lat	
foreign	λιθάργυρος	grc	
entry	Argentum viuum	0	
orth	Argentum viuum	lat	
foreign	ὑδράργυρος	grc	
entry	Argumentum	0	
orth	Argumentum	lat	
foreign	τεκμήριον	grc	
entry	Aridum medicamentum	0	
orth	Aridum medicamentum	lat	
foreign	ξηρίον	grc	
entry	Armela	0	
orth	Armela	lat	
foreign	μῶλυ	grc	
entry	Armoracia	0	
orth	Armoracia	lat	
foreign	χηρία	grc	
entry	Aquatus morbus	0	
orth	Aquatus morbus	lat	
foreign	ἴκτερος	grc	
entry	Arsenicum	0	
orth	Arsenicum	lat	
foreign	σανδαράχη	grc	
entry	Arteria	0	
orth	Arteria	lat	
foreign	ἀρτηρία	grc	
entry	Arteria aspera	0	
orth	Arteria aspera	lat	
foreign	φάρυγξ	grc	
entry	Arteriae dissectio	0	
orth	Arteriae dissectio	lat	
foreign	ἀρτηριοτομία	grc	
entry	Arteria magna	0	
orth	Arteria magna	lat	
foreign	ἀόρτη	grc	
entry	Articaulis	0	
orth	Articaulis	lat	
foreign	κινάρα	grc	
entry	Articularis morbus	0	
orth	Articularis morbus	lat	
foreign	ἀρθρίτις	grc	
entry	Articuli cauitas seusinus	0	
orth	Articuli cauitas seusinus	lat	
foreign	γλήνη	grc	
entry	Articulorum contractio	0	
orth	Articulorum contractio	lat	
foreign	ἀγκύλη	grc	
entry	Articulus	0	
orth	Articulus	lat	
foreign	ἄρθρον	grc	
entry	Arundo	0	
orth	Arundo	lat	
foreign	κάλαμος	grc	
entry	Ascia	0	
orth	Ascia	lat	
foreign	σκέπαρνον	grc	
entry	Aselli	0	
orth	Aselli	lat	
foreign	ὅνοι	grc	
entry	Astaragus syluestris	0	
orth	Astaragus syluestris	lat	
foreign	λιβυκόν	grc	
entry	Aspera arteria	0	
orth	Aspera arteria	lat	
foreign	βρόγχος	grc	
pb	0527	0537	
entry	Aspergines medicamentorum	0	
orth	Aspergines medicamentorum	lat	
foreign	διαπάσματα	grc	
entry	Aspergula	0	
orth	Aspergula	lat	
foreign	ἀπαρίνη	grc	
entry	Aspergula minor	0	
orth	Aspergula minor	lat	
foreign	ἀστὴρ ἀττικός	grc	
entry	Asperitas	0	
orth	Asperitas	lat	
foreign	τραχύτης	grc	
entry	Asperitudo palpebrae	0	
orth	Asperitudo palpebrae	lat	
foreign	τράχωμα	grc	
foreign	τύλωσις	grc	
entry	Aspersiones	0	
orth	Aspersiones	lat	
foreign	προσκλύσματα	grc	
entry	Asperum	0	
orth	Asperum	lat	
foreign	φρικῶδες	grc	
entry	Aspicum	0	
orth	Aspicum	lat	
foreign	ψυδόναρδος	grc	
entry	Assatio	0	
orth	Assatio	lat	
foreign	ὄπλησις	grc	
entry	Astragalus	0	
orth	Astragalus	lat	
foreign	τέτρωρος	grc	
entry	Ater succus	0	
