titre_cote	volume_cote	volume_annee	volume_soustitre	livanc
_34826	34826x08	1832	Tome huitième (FACE-GANG)	2684
_34826	34826x09	1833	Tome neuvième (GANG-HERP)	2685
_34826	34826x10	1833	Tome dixième (HOMOE-KYST)	2686
_34826	34826x11	1834	Tome onzième (LAI-NEN)	2687
_34826	34826x12	1834		2688
_34826	34826x13	1835	Tome treizième (PHTH-PYR)	2689
_34826	34826x14	1835	Tome quatorzième (QUAR-SPLEN)	2690
_34826	34826x15	1836	Tome quinzième (SQUINE-ZINC. Supplément)	2691
_pharma_014023	pharma_014023x01	1829	Tome premier (A-B)	47180
_pharma_014023	pharma_014023x02	1830	Tome second (C-D)	47181
_pharma_014023	pharma_014023x03	1831	Tome troisième (E-K)	47182
_pharma_014023	pharma_014023x04	1832	Tome quatrième (L-N)	47183
_pharma_014023	pharma_014023x05	1833	Tome cinquième (O-Q)	47184
_pharma_014023	pharma_014023x06	1834	Tome sixième (R-Z)	47185
_pharma_014023	pharma_014023x07	1846	Tome VII	47186
_34820	34820x01	1832	Tome 1	2914
_34820	34820x02	1833	Tome 2	2918
_34820	34820x03	1833	Tome 3	2919
_34820	34820x04	1833	Tome 4	2920
_34820	34820x05	1833	Tome 5	2921
_34820	34820x06	1834	Tome 6	2922
_34820	34820x07	1834	Tome 7	2923
_34820	34820x08	1834	Tome 8	2924
_34820	34820x09	1835	Tome 9	2925
_34820	34820x10	1835	Tome 10	2926
_34820	34820x11	1835	Tome 11	2927
_34820	34820x12	1835	Tome 12	2928
_34820	34820x13	1836	Tome 13	2929
_34820	34820x14	1836	Tome 14	2930
_34820	34820x15	1837	Tome 15	2931
_34820	34820x16	1837	Tome 16	2932
_34820	34820x17	1838	Tome 17	2933
_34820	34820x18	1838	Tome 18	2934
_34820	34820x19	1839	Tome 19	2935
_34820	34820x20	1839	Tome 20	2936
_34820	34820x21	1840	Tome 21	2937
_34820	34820x22	1840	Tome 22	2938
_34820	34820x23	1841	Tome 23	2939
_34820	34820x24	1841	Tome 24	2940
_34820	34820x25	1842	Tome 25	2941
_34820	34820x26	1842	Tome 26	2942
_34820	34820x27	1843	Tome 27	2943
_34820	34820x28	1844	Tome 28	2944
_34820	34820x29	1844	Tome 29	2945
_34820	34820x30	1846	Tome 30	2946
_extalfodarboval	extalfodarbovalx01	1838	Tome premier	193310
_extalfodarboval	extalfodarbovalx02	1838	Tome deuxième	193311
