object			
volume	00152	Des Gorris (1601)	1601
orth	Blaesus	lat	
foreign	βλαίστὸς	grc	
foreign	τραυλὸς	grc	
entry	Blitum	0	
orth	Blitum	lat	
foreign	βλιτον	grc	
foreign	ἔνόβλιτον	grc	
entry	Blitum syluestre	0	
orth	Blitum syluestre	lat	
foreign	χυνια	grc	
entry	Boaria herba	0	
orth	Boaria herba	lat	
foreign	βεσθτάλνος	grc	
entry	Boletus	0	
orth	Boletus	lat	
foreign	βωλίτης	grc	
entry	Bonifacia	0	
orth	Bonifacia	lat	
foreign	δάσνη ἀλαρονδρεῖς	grc	
entry	Borago	0	
orth	Borago	lat	
foreign	βουγλῶσσον	grc	
entry	Boreas	0	
orth	Boreas	lat	
foreign	βoῤραῖ	grc	
entry	Bosci saluia	0	
orth	Bosci saluia	lat	
foreign	πολεμῶνιον	grc	
entry	Bouis oculus	0	
orth	Bouis oculus	lat	
foreign	βουφθάλμος	grc	
entry	Brachiale	0	
orth	Brachiale	lat	
foreign	κάρπος	grc	
entry	Brachium	0	
orth	Brachium	lat	
foreign	βράχων	grc	
foreign	χὰς	grc	
entry	Branca vrsina	0	
orth	Branca vrsina	lat	
foreign	ἄναντα	grc	
entry	Brassica	0	
orth	Brassica	lat	
foreign	κράμβη	grc	
entry	Brassica canina	0	
orth	Brassica canina	lat	
foreign	ἀποκύνον	grc	
foreign	χωνοκράμβη	grc	
entry	Britanica	0	
orth	Britanica	lat	
foreign	βρετανικὴ	grc	
entry	Bruscus	0	
orth	Bruscus	lat	
foreign	ἐξυμυροῖνη	grc	
entry	Bryaria	0	
orth	Bryaria	lat	
foreign	μυεὶκη	grc	
entry	Bryonia	0	
orth	Bryonia	lat	
foreign	ἀμπελολεύκη	grc	
foreign	ἀμπλοςμὲλαινα	grc	
entry	Bucca	0	
orth	Bucca	lat	
foreign	γῶθτος	grc	
entry	Buccella purgatoria	0	
orth	Buccella purgatoria	lat	
foreign	βεήλατο	grc	
entry	Buccinum	0	
orth	Buccinum	lat	
foreign	δελφὶνιον	grc	
entry	Buglossum	0	
orth	Buglossum	lat	
foreign	βέγλωσσον	grc	
foreign	νηπενθὲς	grc	
entry	Bulbus	0	
orth	Bulbus	lat	
foreign	βολβοὸς	grc	
foreign	ἐρμοδὰκτυλος	grc	
entry	Bulbus agrestis	0	
orth	Bulbus agrestis	lat	
foreign	ἐφήμερον	grc	
entry	Bulla	0	
orth	Bulla	lat	
foreign	πομφύλυξ	grc	
entry	Buprestis	0	
orth	Buprestis	lat	
foreign	βούπρηστις	grc	
entry	Burga spina	0	
orth	Burga spina	lat	
foreign	ρὰμὴος	grc	
entry	Butyrum	0	
orth	Butyrum	lat	
foreign	βοέτυρον	grc	
entry	Buxus	0	
orth	Buxus	lat	
foreign	πῆρος	grc	
entry	Cabaret	0	
