object			
volume	07399	Castelli	1746
entry	Alapi	0	
orth	Alapi		
entry	Alafort	0	
orth	Alafort		
entry	Alafreg	0	
orth	Alafreg		
entry	Alahabar	0	
orth	Alahabar		
entry	Alahatibis	0	
orth	Alahatibis		
entry	Alaia	0	
orth	Alaia		
entry	Alamandina	0	
orth	Alamandina		
entry	Alanfuta	0	
orth	Alanfuta		
entry	Alaris	0	
orth	Alaris		
ref	Alis.ormis.		
entry	Alasalet	0	
orth	Alasalet		
entry	Alastar	0	
orth	Alastar		
entry	Alastor	0	
orth	Alastor		
entry	Alastrob	0	
orth	Alastrob		
entry	Alathar	0	
orth	Alathar		
entry	Alatus	0	
orth	Alatus		
entry	Alauda	1	
orth	Alauda		
pb	0028	0036	
entry	Alaurat	0	
orth	Alaurat		
entry	Alazon	0	
orth	Alazon		
entry	Alba	0	
orth	Alba		
entry	Alba	0	
orth	Alba		
entry	Alba	0	
orth	Alba		
entry	Albadara	0	
orth	Albadara		
entry	Albagiazi	0	
orth	Albagiazi		
entry	Albanum	0	
orth	Albanum		
entry	Albara	0	
orth	Albara		
entry	Albaras	0	
orth	Albaras		
entry	Albatio	0	
orth	Albatio		
entry	Albedo	0	
orth	Albedo		
entry	Alberik	0	
orth	Alberik		
entry	Albi	0	
orth	Albi		
entry	Albificatio	0	
orth	Albificatio		
entry	Albor	0	
orth	Albor		
entry	Albora	0	
orth	Albora		
entry	Albot	0	
orth	Albot		
entry	Albotar	0	
orth	Albotar		
entry	Albotim	0	
orth	Albotim		
entry	Albotis	0	
orth	Albotis		
ref	Terminthos.		
entry	Albugineus	0	
orth	Albugineus		
ref	Aqueus humor. Albuginea		
entry	Albugo	0	
orth	Albugo		
entry	Albula	0	
orth	Albula		
entry	Album	1	
orth	Album		
pb	0029	0037	
ref	Albus.		
entry	Albumen	0	
orth	Albumen		
entry	Alburnum	0	
orth	Alburnum		
entry	Alburnus	0	
orth	Alburnus		
entry	Albus	0	
orth	Albus		
entry	Alcahest	0	
orth	Alcahest		
entry	Alcali	0	
